Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,Date of publication,Lead author contact details,Link to publication,Notes,How many different databases does the study use?,Database 1: Which country/countries are the clinical data from? ,"Database 1: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 1: If available, link the database / cohort.",Database 1: What kind of data does the database contain (multiple choice): ,Database 1: Are the data publicly available?,Database 1: Is the data collection still ongoing?,Database 2: Which country/countries are the clinical data from? ,"Database 2: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 2: If available, link the database / cohort.",Database 2: What kind of data does the database contain (multiple choice): ,Database 2: Are the data publicly available?,Database 2: Is the data collection still ongoing?,Database 3: Which country/countries are the clinical data from? ,"Database 3: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 3: If available, link the database / cohort.",Database 3: What kind of data does the database contain (multiple choice): ,Database 3: Are the data publicly available?,Database 3: Is the data collection still ongoing?,Database 4: Which country/countries are the clinical data from? ,"Database 4: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 4: If available, link the database / cohort.",Database 4: What kind of data does the database contain (multiple choice): ,Database 4: Are the data publicly available?,Database 4: Is the data collection still ongoing?
217,Yang 2022,Genetic Landscape of the ACE2 Coronavirus Receptor.,Consensus,#217 – Yang 2022,Genetic Landscape of the ACE2 Coronavirus Receptor.,07.04.2022,"jim.wilson@ed.ac.uk
James F. Wilson, DPhil ",https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.121.057888,"",1,"",Covid 19 HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
216,Kuno 2022,The association of statins use with survival of patients with COVID-19.,Consensus,#216 – Kuno 2022,The association of statins use with survival of patients with COVID-19.,22.12.2021,"Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: tkuno@montefiore.org (T. Kuno)",https://doi.org/10.1016/j.jjcc.2021.12.012,"",1,USA,Mout Sinai Health System Data Warehouse,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
215,Kuno 2022,The association of anticoagulation before admission and survival of patients with COVID-19.,Consensus,#215 – Kuno 2022,The association of anticoagulation before admission and survival of patients with COVID-19.,16.12.2021,"Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: tkuno@montefiore.org (T. Kuno)",https://doi.org/10.1016/j.jjcc.2021.12.007,"",1,USA,Mout Sinai Health System Data Warehouse,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
214,Chen 2022,"Effectiveness of Systemic Corticosteroids Therapy for Nonsevere Patients With COVID-19: A Multicenter, Retrospective, Longitudinal Cohort Study.",Consensus,#214 – Chen 2022,"Effectiveness of Systemic Corticosteroids Therapy for Nonsevere Patients With COVID-19: A Multicenter, Retrospective, Longitudinal Cohort Study.",24.02.2022,"Yanhong Gong, PhD, Department of Social Medicine and
Health Management, Tongji Medical College, Huazhong University of Sci-
ence and Technology, Wuhan 430030, P. R. China. Email: gongyanhong@
hust.edu.cn",https://linkinghub.elsevier.com/retrieve/pii/S1098301522000407,"",1,Other: China,"4 Hospitals in Hubei Province, China",NI,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
212,Battistoni 2022,Pre- and in-hospital anticoagulation therapy in coronavirus disease 2019 patients: a propensity-matched analysis of in-hospital outcomes.,Consensus,#212 – Battistoni 2022,Pre- and in-hospital anticoagulation therapy in coronavirus disease 2019 patients: a propensity-matched analysis of in-hospital outcomes.,01.04.2022,"laria Battistoni, MD, Azienda Ospedaliero-Universitaria ‘Ospedali Riuniti’, Dipartimento di Scienze Cardiovascolari, SOD Cardiologia e UTIC, Via Conca 71, 60100 Ancona, Italy E-mail: i.battistoni1982@gmail.com",https://journals.lww.com/jcardiovascularmedicine/fulltext/2022/04000/pre__and_in_hospital_anticoagulation_therapy_in.8.aspx,"Used a ""mcirosoft excel sheet model"". This is surely not useable.

Data collection ended July 2020.",1,Other: Europe,NI,NI,Hospital data (electronic health record),No,No,"","","","","","","","","","","","","","","","","",""
208,Hoertel 2022,Association between benzodiazepine receptor agonist use and mortality in patients hospitalised for COVID-19: a multicentre observational study.,Consensus,#208 – Hoertel 2022,Association between benzodiazepine receptor agonist use and mortality in patients hospitalised for COVID-19: a multicentre observational study,30.03.2022,"N. Hoertel,
E-mail: nico.hoertel@yahoo.fr;
nicolas.hoertel@aphp.fr",https://doi.org/10.1017/S2045796021000743,"",1,France,AP-HP Data Warehouse,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
206,Chow 2022,Association of Early Aspirin Use With In-Hospital Mortality in Patients With Moderate COVID-19.,Consensus,#206 – Chow 2022,Association of Early Aspirin Use With In-Hospital Mortality in Patients With Moderate COVID-19.,24.03.2022,"Jonathan H. Chow, MD, Department of Anesthesiology and Critical Care Medicine, George Washington University School of Medicine and Health Sciences, 2300 M St NW, Room 709, Washington, DC 20037 (jchow@mfa.gwu.edu).",https://doi.org/10.1001/jamanetworkopen.2022.3890,"",1,USA,National COVID Cohort Collaborative (N3C),"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
204,Memel 2022,Association of Statins and 28-Day Mortality Rates in Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 Infection.,Consensus,#204 – Memel 2022,Association of Statins and 28-Day Mortality Rates in Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 Infection.,19.10.2021,"Patricia P. Bloom, Division of Gastroenterology and Hepatology, Department 
of Internal Medicine, 1500 E Medical Center Dr, Ann Arbor, MI 48104 (ppbloom@med.umich.edu).",https://doi.org/10.1093/infdis/jiab539,"",1,USA,MGH Covid-19 Data Registry,https://rc.partners.org/about/projects-initiatives/new-covid-19-research-tools-researchers/covid-19-external-data-sets,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
202,Sobczyk 2022,"The Effect of Circulating Zinc, Selenium, Copper and Vitamin K1 on COVID-19 Outcomes: A Mendelian Randomization Study.",Consensus,#202 – Sobczyk 2022,"The Effect of Circulating Zinc, Selenium, Copper and Vitamin K1 on COVID-19 Outcomes: A Mendelian Randomization Study.",06.01.2022,"MRC Integrative Epidemiology Unit, Bristol Medical School, University of Bristol, Bristol BS8 2BN, UK; 
maria.sobczyk@bristol.ac.uk",https://doi.org/10.3390/nu14020233,"",1,"",Covid HGI,"","",Other: ,Other: ,"",Avon Longitudinal Study of Parents and Children (ALSPAC),"","",Other: ,Other: ,"","","","","","","","","","","",""
201,Noh 2022,The prognostic role of anticoagulants in COVID-19 patients: national COVID-19 cohort in South Korea.,Consensus,#201 – Noh 2022,The prognostic role of anticoagulants in COVID-19 patients: national COVID-19 cohort in South Korea,01.04.2022,"Young-Geun Choi, Assistant Professor. Department of Statistics, Sookmyung Women’s University, 99 Cheongpa-Ro-47-Gil, Yongsan-Gu, Seoul 04310, South Korea. Email: ygchoi@sm.ac.kr.",https://dx.doi.org/10.21037/apm-21-3466,website down,1,South Korea,HIRA-Covid19,https://www.hira-covid19.net/,Insurance/claims data (prescription data),No,NI,"","","","","","","","","","","","","","","","","",""
200,Chow 2022,The association between statin and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,Consensus,#200 – Chow 2022,The association between statin and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,27.04.2022,"Young-Geun Choi, PhD. Assistant Professor, Department of Statistics, Sookmyung Women’s University, 99 Cheongpa-Ro-47-
Gil, Yongsan-Gu, Seoul 04310, South Korea. Email: ygchoi@sm.ac.kr",https://apm.amegroups.org/article/view/92106/html,"",1,"",Health Insurance Review and Assessment Service (HIRA) database,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
199,Shin 2022,The association between immunosuppressants use and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,Consensus,#199 – Shin 2022,The association between immunosuppressants use and COVID-19 adverse outcomes: national COVID-19 cohort in South Korea.,27.04.2022,"Young-Geun Choi, Assistant Professor, PhD. Department of Statistics, Sookmyung Women’s University, Seoul 04310, South 
Korea. Email: ygchoi@sm.ac.kr. ",https://apm.amegroups.org/article/view/93037/html,"",1,"",Health Insurance Review and Assessment Service (HIRA) database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
195,Parks 2022,Venous thromboembolism (VTE) prevention and diagnosis in COVID-19: Practice patterns and outcomes at 33 hospitals.,Consensus,#195 – Parks 2022,Venous thromboembolism (VTE) prevention and diagnosis in COVID-19: Practice patterns and outcomes at 33 hospitals.,05.05.2022,"Anna Parks, anna.parks@hsc.utah.edu",https://doi.org/10.1371/journal.pone.0266944,"",1,USA,HOMERuN Network,https://hospitalinnovate.org/projects/completed-projects/,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
194,Yamamoto 2022,Early intubation and decreased in-hospital mortality in patients with coronavirus disease 2019.,Consensus,#194 – Yamamoto 2022,Early intubation and decreased in-hospital mortality in patients with coronavirus disease 2019.,06.05.2022,"ryo.yamamoto@gmail.com
Ryo Yamamoto
Department of Emergency and Critical Care Medicine, Keio University 
School of Medicine, 35 Shinanomachi, Shinjuku, Tokyo 160-8582, Japan",https://doi.org/10.1186/s13054-022-03995-1,"",1,Japan,J-RECOVER study group,https://www.jstage.jst.go.jp/article/ace/4/3/4_22012/_article,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
191,Sogaard 2022,Thromboembolic Risk in Patients With Pneumonia and New-Onset Atrial Fibrillation Not Receiving Anticoagulation Therapy.,Consensus,#191 – Sogaard 2022,Thromboembolic Risk in Patients With Pneumonia and New-Onset Atrial Fibrillation Not Receiving Anticoagulation Therapy,26.05.2022," Mette Søgaard, DVM, PhD, Department of Cardiology, Aalborg University Hospital, Sønder Skovvej 15, 9000 Aalborg, Denmark (mette.soegaard@rn.dk)",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2792724,"National Patient Register has discharge diagnoses, unclear how much inpatient.",3,Denmark,Danish National Patient Register,"","Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",No,Yes,Denmark,The Civil Registration system,NI,"National registries (e.g. death registry, cancer registry, etc.)",No,Yes,Denmark,The Danish National Prescription Registry,https://pure.au.dk/portal/en/publications/the-danish-national-prescription-registry,Other: Outpatient prescriptions,No,Yes,"","","","","",""
185,Abelenda-Alonso 2022,Effect of positive microbiological testing on antibiotic de-escalation and outcomes in community-acquired pneumonia: a propensity score analysis.,Consensus,#185 – Abelenda-Alonso 2022,Effect of positive microbiological testing on antibiotic de-escalation and outcomes in community-acquired pneumonia: a propensity score analysis.,07.07.2022,"Gudiol, Hospital Universitari de Bellvitge, Department of Infectious Diseases, Hospital de Bellvitge, c/ Feixa Llarga s/n 08097, L'Hospitalet d’Llobregat, Barcelona, Spain.
cgudiol@bellvitgehospital.cat",https://pubmed.ncbi.nlm.nih.gov/35809784/,"",1,Spain,Bellvitge University Hospital Data Warehouse,NI,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
170,Cortellini 2022,Immune checkpoint inhibitor therapy and outcomes from SARS-CoV-2 infection in patients with cancer: a joint analysis of OnCovid and ESMO-CoCARE registries.,Consensus,#170 – Cortellini 2022,Immune checkpoint inhibitor therapy and outcomes from SARS-CoV-2 infection in patients with cancer: a joint analysis of OnCovid and ESMO-CoCARE registries.,30.11.2022,Dr Alessio Cortellini; alessiocortellini@gmail.com,https://jitc.bmj.com/content/10/11/e005732,"",2,Other: Europa wide,OnCovid,https://imperialbrc.nihr.ac.uk/research/infection/covid-19/covid-19-ongoing-studies/oncovid/,Disease specific network (cohort study),No,NI,"Other: World-Wide (UK, Spain, Switzerland, Russia, South Korea, Philippines, ...)",ESMO-CoCARE,https://www.esmo.org/covid-19-and-cancer/registries-studies-and-surveys/esmo-cocare-registry,Hospital data (electronic health record); Disease specific network (cohort study),No,NI,"","","","","","","","","","","",""
169,Wilshire 2022,Comparing Initial Surgery versus Fibrinolytics for Pleural Space Infections: A Retrospective Multicenter Cohort Study.,Consensus,#169 – Wilshire 2022,Comparing Initial Surgery versus Fibrinolytics for Pleural Space Infections: A Retrospective Multicenter Cohort Study.,01.11.2022,"Jed A. Gorden, M.D., Division of Thoracic Surgery and Interventional
Pulmonology, Swedish Cancer Institute, 1101 Madison Street, Suite 900, Seattle, WA 98104. E-mail: jed.gorden@swedish.org.",https://doi.org/10.1513/AnnalsATS.202108-964OC,"",1,USA,Providence-Swedish healthcare system ,NI,Insurance/claims data (prescription data),No,Yes,"","","","","","","","","","","","","","","","","",""
166,Johnson 2022,Association of Reduced Hospitalizations and Mortality Rates Among COVID-19-Vaccinated Patients With Heart Failure.,Consensus,#166 – Johnson 2022,Association of Reduced Hospitalizations and Mortality Rates Among COVID-19-Vaccinated Patients With Heart Failure.,09.06.2022,"Anuradha Lala, MD, Mount Sinai Medical
Center: Mount Sinai Health System. 1 Gustave Levy Pl. New York,",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9178679/,"",1,USA,Mount Sinai Health System,https://labs.icahn.mssm.edu/msdw/ (not currently working),Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
165,Pinato 2022,"Vaccination against SARS-CoV-2 protects from morbidity, mortality and sequelae from COVID19 in patients with cancer.",Consensus,#165 – Pinato 2022,"Vaccination against SARS-CoV-2 protects from morbidity, mortality and sequelae from COVID19 in patients with cancer.",23.05.2022,"alessiocortellini@gmail.com, a.cortellini@imperial.ac.uk (A. Cortellini)",https://doi.org/10.1016/j.ejca.2022.04.036,"",1,"",OnCovid,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
163,Wu 2022,The Impact of COVID-19 on Postdischarge Outcomes for Dialysis Patients in the United States: Evidence from Medicare Claims Data.,Consensus,#163 – Wu 2022,The Impact of COVID-19 on Postdischarge Outcomes for Dialysis Patients in the United States: Evidence from Medicare Claims Data,30.06.2022," Dr. John D. Kalbfleisch, Kidney Epidemiology and Cost Center, University of Michigan, 1415 Washington Heights,
Suite 3645A SPH I, Ann Arbor, MI 48109. Email: jdkalbfl@umich.edu",https://doi.org/10.34067/KID.0000242022,"",1,USA,Medicare,NI,Insurance/claims data (prescription data),No,Yes,"","","","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","",""
162,Bowe 2022,Acute and postacute sequelae associated with SARS-CoV-2 reinfection.,Consensus,#162 – Bowe 2022,Acute and postacute sequelae associated with SARS-CoV-2 reinfection.,10.11.2022,"Ziyad Al-Aly, Veterans Research and Education Foundation of St. Louis, St. Louis, MO, USA, zalaly@gmail.com",https://www.nature.com/articles/s41591-022-02051-3,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system",https://www.data.va.gov/,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
159,Mues 2022,Real-world comparative effectiveness of mRNA-1273 and BNT162b2 vaccines among immunocompromised adults identified in administrative claims data in the United States.,Consensus,#159 – Mues 2022,Real-world comparative effectiveness of mRNA-1273 and BNT162b2 vaccines among immunocompromised adults identified in administrative claims data in the United States.,24.09.2022,"Aetion, Inc, 5 Pennsylvania Plaza, New York, NY 10001, USA
E-mail address: katie.mues@aetion.com (K.E. Mues)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9507810/,"",1,USA,HealthVerity,https://healthverity.com/mastersets/covid-19/,Insurance/claims data (prescription data),No,NI,"","","","","","","","","","","","","","","","","",""
147,Xu 2022,Long-term neurologic outcomes of COVID-19.,Consensus,#147 – Xu 2022,Long-term neurologic outcomes of COVID-19,22.09.2022,"Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)",https://www.nature.com/articles/s41591-022-02001-z,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
140,Langer-Gould 2023,Anakinra or high-dose corticosteroids in COVID-19 pneumonia patients who deteriorate on low-dose dexamethasone: an observational study of comparative effectiveness.,Consensus,#140 – Langer-Gould 2023,Anakinra or high-dose corticosteroids in COVID-19 pneumonia patients who deteriorate on low-dose dexamethasone: an observational study of comparative effectiveness.,18.11.2022,"Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027.",https://doi.org/10.1016/j.ijid.2022.11.017,"",2,USA,KPSC Research Data Warehouse,"","",Other: ,Other: ,USA,"KPNC Virtual Data Warehouse on exposures, outcomes, and covariates of interest","","",Other: ,Other: ,"","","","","","","","","","","",""
139,MohdKamil 2023,Non-rebreather mask and low-flow nasal cannula vs high-flow nasal cannula in severe COVID-19 pneumonia in the emergency department.,Consensus,#139 – MohdKamil 2023,Non-rebreather mask and low-flow nasal cannula vs high-flow nasal cannula in severe COVID-19 pneumonia in the emergency department.,19.10.2022,"E-mail addresses: presisoc90@gmail.com (M.K. Mohd Kamil),
khadijah.poh@ummc.edu.my (K.P. Yuen Yoong), muhaimin@um.edu.my
(A.M. Noor Azhar), aidabustam@um.edu.my (A. Bustam), hafyzuddin@ummc.edu.my (M.H. Md Yusuf), nuraliyah@ummc.edu.my (A. Zambri), ahmadzulkarnain@ummc.edu.my (A.Z. Ahmad Zahedi).",https://doi.org/10.1016/j.ajem.2022.10.029,"Retrospective, two hospitals. Useless.",1,Other: Malaysia,NI,NI,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
131,Shimizu 2023,Early physical rehabilitation effectiveness in frail older patients hospitalized for community-acquired pneumonia: analysis of a nationwide database in Japan.,Consensus,#131 – Shimizu 2023,Early physical rehabilitation effectiveness in frail older patients hospitalized for community-acquired pneumonia: analysis of a nationwide database in Japan.,14.11.2022,"Akio Shimizu 
a.shimizu.diet@gmail.com",https://pubmed.ncbi.nlm.nih.gov/36376622/,"",1,Japan,Diagnosis Procedure Combination database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
129,Cao 2023,Bidirectional causal associations between type 2 diabetes and COVID-19.,Consensus,#129 – Cao 2023,Bidirectional causal associations between type 2 diabetes and COVID-19.,07.09.2022,"Fuquan Zhang, Department of Psychiatry, The
Affiliated Brain Hospital of Nanjing Medical
University, 264 Guangzhou Rd,
Nanjing 210029, China.
Email: zhangfq@njmu.edu.cn",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9538258/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
127,Kimura 2023,Association Between Systemic Corticosteroid Use and Mortality in Patients with Epiglottitis.,Consensus,#127 – Kimura 2023,"Association Between Systemic Corticosteroid Use and Mortality in
Patients with Epiglottitis",19.03.2022,"Yuya Kimura, MD, Clinical Research Center, National Hospital Organization Tokyo National Hospital, 3-1-1 Takeoka, Kiyose-shi, Tokyo 204-8585, Japan.

Email: yuk.close.to.wrd.34@gmail.com",https://doi.org/10.1002/lary.30110,"",1,Japan,Diagnosis Procedure Combination database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
126,Moromizato 2023,Intravenous methylprednisolone pulse therapy and the risk of in-hospital mortality among acute COVID-19 patients: Nationwide clinical cohort study.,Consensus,#126 – Moromizato 2023,Intravenous methylprednisolone pulse therapy and the risk of in-hospital mortality among acute COVID-19 patients: Nationwide clinical cohort study,08.02.2023,"Yasuharu Tokuda
yasuharu.tokuda@gmail.com",https://pubmed.ncbi.nlm.nih.gov/36755340/,"",1,Japan,Diagnosis Procedure Combination database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
122,Ni 2023,Shared genetic architecture between type 2 diabetes and COVID-19 severity.,Consensus,#122 – Ni 2023,Shared genetic architecture between type 2 diabetes and COVID-19 severity.,21.09.2022,"H-F. Pan, panhaifeng@ahmu.edu.cn",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9489484/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
121,Portmann 2023,Hospital Outcomes of Community-Acquired SARS-CoV-2 Omicron Variant Infection Compared With Influenza Infection in Switzerland.,Consensus,#121 – Portmann 2023,Hospital Outcomes of Community-Acquired SARS-CoV-2 Omicron Variant Infection Compared With Influenza Infection in Switzerland.,15.02.2023,"Rami Sommerstein, MD, Department of Health Sciences and Medicine, Clinic St Anna, University of Lucerne, Switzerland (rami.sommerstein@unilu.ch).",https://pubmed.ncbi.nlm.nih.gov/36790812/,"",1,Other: Switzerland,Hospital-based surveillance of COVID-19 in Switzerland,https://www.unige.ch/medecine/hospital-covid/,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
117,Liu 2023,Association between trans fatty acids and COVID-19: A multivariate Mendelian randomization study.,Consensus,#117 – Liu 2023,Association between trans fatty acids and COVID-19: A multivariate Mendelian randomization study.,04.01.2023,"Dongbo Xue, Chenjun Hao and Yingmei
Zhang, Key Laboratory of Hepatosplenic
Surgery, Ministry of Education, The First
Affiliated Hospital of Harbin Medical
University, Harbin, China.
Email: xuedongbo@hrbmu.edu.cn;
haochenjun@hrbmu.edu.cn and
zhangyingmei@hrbmu.edu.cn",https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.28455,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
116,Xu 2023,Risks and burdens of incident dyslipidaemia in long COVID: a cohort study.,Consensus,#116 – Xu 2023,Risks and burdens of incident dyslipidaemia in long COVID: a cohort study.,06.01.2023,"Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)",https://www.thelancet.com/journals/landia/article/PIIS2213-8587(22)00355-2/fulltext,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
114,Djulbegovic 2023,Evaluation of a fast-and-frugal clinical decision algorithm ('pathways') on clinical outcomes in hospitalised patients with COVID-19 treated with anticoagulants.,Consensus,#114 – Djulbegovic 2023,Evaluation of a fast-and-frugal clinical decision algorithm ('pathways') on clinical outcomes in hospitalised patients with COVID-19 treated with anticoagulants.,13.10.2022,"Benjamin Djulbegovic, MD, PhD, Beckman Research Institute, 1500 E Duarte Rd, Duarte, CA 91010-3000, USA.

bdjulbegovic@coh.org",https://doi.org/10.1111/jep.13780,"",1,USA,Rush University Hospital Data Warehouse,https://www.rushu.rush.edu/research/resources-researchers/data-management,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
112,Hamilton 2023,Therapeutic potential of IL6R blockade for the treatment of sepsis and sepsis-related death: A Mendelian randomisation study.,Consensus,#112 – Hamilton 2023,Therapeutic potential of IL6R blockade for the treatment of sepsis and sepsis-related death: A Mendelian randomisation study.,30.01.2023,"Fergus Hamilton, fergus.hamilton@bristol.ac.uk",https://doi.org/10.1371/journal.pmed.1004174,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","",Other: ,Other: 
111,D'Andrea 2023,Exposure to psychotropic medications and COVID-19 course after hospital admission: Results from a prospective cohort study.,Consensus,#111 – D'Andrea 2023,Exposure to psychotropic medications and COVID-19 course after hospital admission: Results from a prospective cohort study.,18.02.2023,"Giale Giacobazzi, 96, 41049 Sassuolo (MO), Italy. 
E-mail address: giuseppe.dandrea6@studio.unibo.it (G. D'Andrea).",https://doi.org/10.1016/j.jpsychores.2023.111199,"",1,Other: Italy,PREDI-CO,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
99,Xie 2023,Nirmatrelvir and risk of hospital admission or death in adults with covid-19: emulation of a randomized target trial using electronic health records.,Consensus,#99 – Xie 2023,Nirmatrelvir and risk of hospital admission or death in adults with covid-19: emulation of a randomized target trial using electronic health records.,11.04.2023,"Z Al-Aly
zalaly@gmail.com 
(or @zalaly on Twitter; 
ORCID 0000-0002-2600-0434)",https://doi.org/10.1136/bmj-2022-073312,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
97,Zhang 2022,Application of Causal Discovery Algorithms in Studying the Nephrotoxicity of Remdesivir Using Longitudinal Data from the EHR.,Consensus,#97 – Zhang 2022,Application of Causal Discovery Algorithms in Studying the Nephrotoxicity of Remdesivir Using Longitudinal Data from the EHR.,29.04.2023,https://www.linkedin.com/in/jianqiu-zhang-6b135a118/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10148284/,"",1,USA,University of Minnesota Clinical and Translational Institute (CTSI) data repository,https://ctsi.umn.edu/services/data-informatics/find-access-data,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
94,Ambrose 2023,Neutralizing Monoclonal Antibody Use and COVID-19 Infection Outcomes.,Consensus,#94 – Ambrose 2023,Neutralizing Monoclonal Antibody Use and COVID-19 Infection Outcomes.,24.04.2023,"Brian Anderson, MD, The MITRE Corporation, 202 Burlington Rd, Mailstop E135, Bedford, MA 01730 (briananderson@mitre.org).",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2803990,NI. ,1,USA,NI,NI,Other: Outpatient,No,NI,"","","","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","",Other: ,Other: 
93,Xie 2023,Molnupiravir and risk of post-acute sequelae of covid-19: cohort study.,Consensus,#93 – Xie 2023,Molnupiravir and risk of post-acute sequelae of covid-19: cohort study.,25.04.2023,"Z Al-Aly VA Saint Louis Health Care System, Saint Louis, MO 63106, USA zalaly@gmail.com (or @zalaly on Twitter)",https://doi.org/10.1136/bmj-2022-074572,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
91,Jones 2023,Incidence and Outcomes of Non-Ventilator-Associated Hospital-Acquired Pneumonia in 284 US Hospitals Using Electronic Surveillance Criteria.,Consensus,#91 – Jones 2023,Incidence and Outcomes of Non-Ventilator-Associated Hospital-Acquired Pneumonia in 284 US Hospitals Using Electronic Surveillance Criteria.,18.05.2023,"Barbara E. Jones, MD, MS, University of Utah School of Medicine, 50 N Medical Dr, 701 Wintrobe, Salt Lake City, UT 84103 (ude.hatu.csh@senoj.arabraB).",https://pubmed.ncbi.nlm.nih.gov/37200031/,"",2,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,USA,Harvard Pilgrim Health Care Institute (HCA Healthcare Networks),NI,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","",""
90,Bugiardini 2023,Sex differences and disparities in cardiovascular outcomes of COVID-19.,Consensus,#90 – Bugiardini 2023,Sex differences and disparities in cardiovascular outcomes of COVID-19.,18.01.2023,"Department of Medical and Surgical Sciences, University of Bologna, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy
Corresponding author. Tel: +39 051347290; fax: +39 051347290, E-mail: raffaele.bugiardini@unibo.it",https://pubmed.ncbi.nlm.nih.gov/36651866/,"",1,Other: Europe,ISACS-COVID-19,https://clinicaltrials.gov/study/NCT05188612,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
